127.0.0.1 - - [25/Oct/2019:09:54:17 +0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:54:18 +0300] "GET /login2/login/MyLogin.html HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:54:18 +0300] "GET /login2/login/criss.css HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:54:18 +0300] "GET /login2/login/woman.jfif HTTP/1.1" 200 7840
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:54:18 +0300] "GET /login2/login/original.jpg HTTP/1.1" 200 123816
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:54:32 +0300] "GET /login2/login/MyLogin.html HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:54:32 +0300] "GET /login2/login/woman.jfif HTTP/1.1" 200 7840
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:54:32 +0300] "GET /login2/login/criss.css HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [25/Oct/2019:09:54:32 +0300] "GET /login2/login/original.jpg HTTP/1.1" 200 123816
0:0:0:0:0:0:0:1 - - [25/Oct/2019:17:43:57 +0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [25/Oct/2019:17:43:59 +0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [25/Oct/2019:17:44:01 +0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [25/Oct/2019:17:44:01 +0300] "GET / HTTP/1.1" 404 1036
